UUID,Cluster,Vorkommende Namen,Land
3d8a636d-41f2-404c-9802-99dc2fc743b8,"ALAN - Maladies Rares Luxembourg, Kockelscheuer","""ALAN - Maladies Rares Luxembourg, Kockelscheuer""",LUXEMBOURG
6f326615-ef73-46cf-b030-bcab9bbf53e8,"Alzheimer Europe, Luxembourg","""Alzheimer Europe, Luxembourg""",LUXEMBOURG
4fc0e607-d971-47a4-9a2e-42e40d6bc2de,"Arbeitsgemeinschaft für Werbung, Markt- und Meinungsforschung, Luxemburg","""Arbeitsgemeinschaft fuer Werbung, Markt- und Meinungsforschung, Luxemburg""",LUXEMBOURG
e31d011e-6d38-446b-911d-815eed316e3e,"Autisme Luxembourg a.S.B.L, 1, Beckerich","""Autisme Luxembourg a.S.B.L, 1, Beckerich""",LUXEMBOURG
1ad1faff-77af-439d-8bb2-dff536a3c97f,"CEPS/INSTEAD, Esch-sur-Alzette","""CEPS/INSTEAD, Esch-sur-Alzette""",LUXEMBOURG
aa2de35b-1384-45bb-bb60-6e16417bec10,"CRP-Sante, Luxembourg","""CRP Sante, Luxembourg""",LUXEMBOURG
d4f2e2a0-e14c-4d5b-9190-82f6383c1a29,"CRP-Sante, Strassen; Methodology and Statistics Unit","""CRP-Sante, Strassen; Methodology and Statistics Unit""",LUXEMBOURG
423d0429-69ae-4be7-8cf3-bfe453af726b,"Cargolux Airlines International, Luxembourg","""Cargolux Airlines International, Luxembourg""",LUXEMBOURG
a0c2f600-42f7-4f4a-a87c-70e3f5dccd9d,Cellule de Recherche Itzig,"""Cellule de Recherche Itzig""",LUXEMBOURG
555308db-8cfd-4c25-8588-9ed83bfbecb3,"Center Hospital de Luxembourg, Service de Neurochirurgie","""Center Hospital de Luxembourg, Service de Neurochirurgie""",LUXEMBOURG
1f685c8a-bf66-4b68-8c1d-69d4214eb3e4,"Hospital Center Emile Mayrisch, Dudelange; Department of Geriatrics","""Centre Hospitalier Emile Mayrisch, Dudelange; Department of Geriatrics""",LUXEMBOURG
c1e6bd7a-d607-43b5-b51c-eb792cc39ab6,"Hospital Center Emile Mayrisch, Luxembourg; Department of Neurology","""Centre Hospitalier Emile Mayrisch, Luxembourg; Department of Neurology""",LUXEMBOURG
52f1b7bd-d523-40b2-92a7-770122e497f8,"Centre Hospitalier Neuro-Psychiatrique Luxembourg, Ettelbrück, Rehaklinik","""Centre Hospitalier Neuro-Psychiatrique Luxembourg, Ettelbrück, Rehaklinik""",LUXEMBOURG
218826ff-6d04-4d32-8aca-d63f182c5fb4,"Centre Hospitalier Neuro-Psychiatrique, Ettelbrück, Bereich Suchtmedizin","""Centre Hospitalier Neuro-Psychiatrique, Ettelbrück, Bereich Suchtmedizin""",LUXEMBOURG
c31921d1-4935-4259-bdaa-f76e4ac2d19c,"Centre Hospitalier Neuro-Psychiatrique, Luxembourg","""Centre Hospitalier Neuro-Psychiatrique, Luxembourg""",LUXEMBOURG
7b75d5fb-5306-43bd-9a36-526627fb9488,"Centre Hospitalier de Luxembourg, Département de Psychiatrie","""Centre Hospitalier de Luxembourg, Luxembourg; Département de Psychiatrie""",LUXEMBOURG
7eaeaf7a-7945-45af-bd40-ce300b561bca,Centre Hospitalier de Luxembourg; Department of Neuroscience,"""Centre Hospitalier de Luxembourg; Department of Neuroscience""",LUXEMBOURG
d4299eb4-a69b-4ca7-8c74-8a4f0cfaa2eb,"Centre Hospitalier du Kirchberg, Luxembourg","""Centre Hospitalier du Kirchberg, Luxembourg""",LUXEMBOURG
945f59ca-55ed-448e-80c2-67c66f841895,"Centre Hospitalier du Kirchberg, Luxembourg; Department of Psychiatry","""Centre Hospitalier du Kirchberg, Luxembourg; Department of Psychiatry""",LUXEMBOURG
e168c308-3858-4612-b859-167e22bba72e,"Centre de Compétence Parachèvement, Bettemburg","""Centre de Compétence Parachèvement, Bettemburg""",LUXEMBOURG
e1072bf3-1ee0-4847-8502-f2fd2f145ca9,"Centre de Logopédie, Luxembourg","""Centre de Logopédie, Luxembourg""",LUXEMBOURG
723aaf01-337f-406d-9f31-e3aa56e63270,Luxembourg Institute of Health; Institute of Immunology,"""Centre de Recherche Public - Santé, Luxembourg; Institute of Immunology""",LUXEMBOURG
ac312353-d37a-467d-99b1-0c871e385a79,"Public Research Center Henri Tudor, Luxembourg-Kirchberg","""Centre de Recherche Public Henri Tudor, Luxembourg-Kirchberg""",LUXEMBOURG
88885f3d-f96c-44e6-9f28-0fc99b8284ad,Luxembourg Institute of Health,"""Centre de Recherche Public Santé, Luxembourg""",LUXEMBOURG
46dba72b-f541-48c5-a4cf-31d95f057a99,Luxembourg Institute of Health; Competence Centre of Methodology and Statistics,"""Centre de Recherche Public de la Santè, Luxembourg; Competence Centre of Methodology and Statistics""",LUXEMBOURG
fb9b6021-d982-410b-8142-effeaafdb03e,Luxembourg Institute of Health; Laboratory of Emotional Disorders,"""Centre de Recherche Public de la Santè, Luxembourg; Laboratory of Emotional Disorders""",LUXEMBOURG
9715a660-8958-4c92-ad45-3f2f6c19b9a9,"Centre for Memory and Mobility, Zitha, Luxembourg","""Centre for Memory and Mobility, Zitha, Luxembourg city""",LUXEMBOURG
8a12c887-1a53-4ad2-aef6-cd638bb28700,"Centre for children and adolescents with Learning Disorders - Grand-Duchess Maria Teresa (CDA), Ministère de l''Éducation nationale","""Centre pour le développement des apprentissages Grande-Duchesse Maria Teresa (CDA), Ministère de l'Éducation nationale""",LUXEMBOURG
d7cda071-4086-44c0-a813-caa05f39ba20,"University of Luxembourg; Faculty of Humanities, Education and Social Sciences; Department of Behavioral and Cognitive Sciences; Institute for Health and Behavior; Clinical Psychophysiology Laboratory; Research Unit on Social and Individual Development","""Clinical Psychophysiology Laboratory, Institute for Health and Behaviour, Research Unit INSIDE, University of Luxembourg""",LUXEMBOURG
273de53d-dd36-4e5b-b2a7-2d20bf93aa5c,Clinique Bohler and Hôpital Kirchberg,"""Clinique Bohler and Hôpital Kirchberg""",LUXEMBOURG
2f96903a-9d6a-4672-9600-7859e21df31b,Co-Founder Zortify S.A.,"""Co-Founder Zortify S.A.""",LUXEMBOURG
c867ab79-b31e-4ea1-9e4e-7b2ae17fe12f,"University of Luxembourg; Faculty of Humanities, Education and Social Sciences; Department of Behavioral and Cognitive Sciences, Institute of Cognitive Science and Assessment; Cognitive Neuroscience Lab","""Cognitive Neuroscience Lab, Department of Behavioural and Cognitive Sciences, Institute of Cognitive Science & Assessment, University of Luxembourg, Esch-sur-Alzette""",LUXEMBOURG
231a1147-736a-46ac-a251-dcc363cc44f9,"Competence Center for Methodology and Statistics, Luxembourg Institute of Health, 1445 Strassen","""Competence Center for Methodology and Statistics, Luxembourg Institute of Health, 1445 Strassen""",LUXEMBOURG
2401a659-8306-4680-8792-cd879952c6d4,"DZ PRIVATBANK S.A., Strassen","""DZ PRIVATBANK S.A., Strassen""",LUXEMBOURG
8adf83db-4f88-45e0-b88e-ff0b195fe6ab,"University of Luxembourg; Faculty of Humanities, Education and Social Sciences; Department of Behavioral and Cognitive Sciences; Institute for Lifespan Development, Family, and Culture","""Department of Behavioural and Cognitive Sciences; Institute for Lifespan Development, Family, & Culture; University of Luxembourg""",LUXEMBOURG
dd9d2fa0-df13-4513-b0ad-9ed7acc51fab,"Department of Population Health, Luxembourg Institute of Health, Strassen","""Department of Population Health, Luxembourg Institute of Health, Strassen""",LUXEMBOURG
7fb97d8e-7ffb-4e68-a1d1-3b118b67c628,"EUROCONTROL Aviation Learning Center, Luxembourg","""EUROCONTROL Aviation Learning Centre, Luxembourg""",LUXEMBOURG
b2ef568c-7db3-4744-bd32-13a1c5c42cd7,"Equimotion - Zertifizierte Reittherapie Ausbildung, Münschecker","""Equimotion - Zertifizierte Reittherapie Ausbildung, Münschecker""",LUXEMBOURG
660e248e-4713-4444-8777-ed35cf0b6d57,"European Union, Luxembourg; Institute for Labor Law and Industrial Relations","""European Union, Luxembourg; Institute for Labor Law and Industrial Relations""",LUXEMBOURG
955f8398-22e6-4170-ac57-aad319ba73ba,"Eurostat, Luxemburg","""Eurostat, Luxemburg""",LUXEMBOURG
810d76c7-d4a6-4757-b158-54e84e8d2331,"Foundation François-Elisabeth; Laboratory of Clinical Psychology, Health Psychology and Art Therapies","""Foundation François-Elisabeth; Laboratory of Clinical Psychology, Health Psychology and Art Therapies""",LUXEMBOURG
1450cba9-f0d2-4fc0-ae28-79361a618294,"Group Psylux, Neuroacademy and Traumainstitut Luxembourg, Cabinet de Psychologie and de Sciences de la Psychothérapie Khashayar Pazooki, Mamer","""Group Psylux, Neuroacademy & Traumainstitut Luxembourg, Cabinet de Psychologie & de Sciences de la Psychothérapie Khashayar Pazooki, Mamer""",LUXEMBOURG
a991669a-66af-4bc5-b74c-e497a78af627,"Groupe de Support Psychologique de Protection Civile, Mondorf","""Groupe de Support Psychologique de Protection Civile, Mondorf""",LUXEMBOURG
206dcc22-1d7f-40e3-987d-173bed44c6ef,"Healthcast SA, Luxembourg","""Healthcast SA, Luxembourg""",LUXEMBOURG
db5c4d63-fc4c-4b4c-a2a6-7cf3b46947e1,"Heilpädagogischer Frühförderungsdienst, Luxemburg","""Heilpädagogischer Frühförderungsdienst, Luxemburg""",LUXEMBOURG
e0171781-68f3-4d58-8ae2-e871f92cce52,Hospital Center Luxembourg,"""Hospital Center Luxembourg""",LUXEMBOURG
11856c50-f1e1-447c-b1fd-9b9152792dc7,University of Luxembourg; Human-Computer Interaction Research Group,"""Human-Computer Interaction Research Group, University of Luxembourg""",LUXEMBOURG
8463fcd5-9963-4348-91b5-ca0ee50b7c72,"Hôpital Kirchberg, Luxembourg; Laboratoire de recherche en Psychologie clinique","""Hôpital Kirchberg, Luxembourg; Laboratoire de recherche en Psychologie clinique""",LUXEMBOURG
a5006fc1-fdf6-4d95-95b1-375c427d7127,"Hôpital Kirchberg, Luxembourg; Service National de Psychiatrie Juvénile","""Hôpital Kirchberg, Luxembourg; Service National de Psychiatrie Juvénile""",LUXEMBOURG
bee3c7cf-6fab-4470-a443-1f629aaaf72a,"Hôpital Kirchberg, Luxemburg; Forschungseinheit Klinische Psychologie","""Hôpital Kirchberg, Luxemburg; Forschungseinheit Klinische Psychologie""",LUXEMBOURG
29b2bf02-500a-4315-bd62-4ea5df7b9062,"University of Luxembourg; Faculty of Science, Technology and Medicine; Department of Computer Science and Communication; ILIAS Laboratory","""ILIAS Laboratory, Dept. of Computer Science and Communication, FSTC, University of Luxembourg, Eschsur- Alzette""",LUXEMBOURG
f76ab936-1049-4c45-a7c7-e027f3265177,"Luxembourg Institute of Health, Department of Infection and Immunity; Immune Endocrine Epigenetics Research Group","""Immune Endocrine Epigenetics Research Group, Department of Infection and Immunity, Luxembourg Institute of Health, Esch sur Alzette""",LUXEMBOURG
de03b251-32c7-4425-9659-1b963f1e0915,Institut Pedagogique Luxembourg,"""Institut Pedagogique Luxembourg""",LUXEMBOURG
1aa0a797-00c7-46a9-abc5-fb7efd9fdf1d,"Institut fir Psychologesch Gesondheetsfërderong, Bertrange","""Institut fir Psychologesch Gesondheetsfërderong, Bertrange""",LUXEMBOURG
8e36eddd-850a-4952-804f-da954cc814b0,"Institut fir Psychologesch Gesondheetsförderung, Luxemburg","""Institut fir Psychologesch Gesondheetsförderung, Luxemburg""",LUXEMBOURG
d1603ecb-07e7-477e-95b3-ec1b56308941,"Kindertagesstätte, Kleinbettingen","""Kindertagesstätte, Kleinbettingen""",LUXEMBOURG
293b371e-ae5a-4168-b146-922566930883,"Kommission der Europäischen Gemeinschaft, Luxemburg","""Kommission der Europäischen Gemeinschaft, Luxemburg""",LUXEMBOURG
eed806e9-93e8-4ffb-820b-f8988dcc316a,"Laboratoire de Psychologie clinique PCSA, Luxembourg","""Laboratoire de Psychologie clinique PCSA, Luxembourg""",LUXEMBOURG
85eccf6d-8ea2-4ffc-ae9f-1a403f3eedc2,"LetzMath Sarl-s, Esch-sur-Alzette","""LetzMath Sarl-s, Esch-sur-Alzette""",LUXEMBOURG
c889ee07-76ac-4998-ab1c-cfb79b897e41,"Long term care facilites ALA, Pontalize","""Long term care facilites ALA, Pontalize""",LUXEMBOURG
6bc43a0b-5b0b-471f-ab97-d1ecc91af5f1,"Luxembourg Institute of Socio-Economic Research (LISER), Esch-sur-Alzette","""Luxembourg Institute of Socio-Economic Research (LISER), Esch-sur-Alzette""",LUXEMBOURG
66f7276c-1453-4e98-a379-4997934de990,"Luxembourg Ministry of Education, Children and Youth, Luxembourg, Diekirch","""Luxembourg Ministry of Education, Children and Youth, Luxembourg, Diekirch""",LUXEMBOURG
c7de3a43-b3a0-49a1-855d-5aa071c4c8a3,"Luxembourg School of Religion and Society, Luxembourg","""Luxembourg School of Religion and Society, Luxembourg""",LUXEMBOURG
4f1fbf0b-3bab-459d-aba3-c156426f7a75,"Lycée des Arts et Métiers, Luxemburg; SPOS - Service de psychologie de d'orientation scolaires","""Lycée des Arts et Métiers, Luxemburg; SPOS - Service de psychologie de d'orientation scolaires""",LUXEMBOURG
02f9133e-1a77-44a6-a209-56e3a9149363,"Machine Learning Solutions, Luxembourg","""Machine Learning Solutions, Luxembourg""",LUXEMBOURG
747c3541-f083-4d4b-a7bb-79f5eb55f542,"Maison de Soins Op Lamp, Wasserbillig","""Maison de Soins Op Lamp, Wasserbillig""",LUXEMBOURG
6025aa45-231a-4a65-b02f-51b2f834d778,"Ministry of Higher Education and Research, Luxembourg","""Ministry of Higher Education and Research, Luxembourg""",LUXEMBOURG
bd037929-68c9-43d4-89ff-0ea6f740f1cf,"Multisectoral Occupational Health Service, Luxembourg","""Multisectoral Occupational Health Service, Luxembourg""",LUXEMBOURG
2e55e6d6-b810-45d8-bbbb-98a1f0a67110,Observatoire National de la Qualité Scolaire,"""Observatoire National de la Qualité Scolaire""",LUXEMBOURG
41982277-cf97-4a44-8c2a-fe490e9b27c9,"Centre Hospitalier de Luxembourg; Paediatric Clinic, Paediatric Endocrinology and Diabetology (DECCP)","""Paediatric Clinic, Paediatric Endocrinology and Diabetology (DECCP), Centre Hospitalier de Luxembourg""",LUXEMBOURG
d5fbcfd3-4a2c-4beb-9975-c1549dd056b5,"Paerd's Atelier A.S.B.L., Merscheid","""Paerd's Atelier A.S.B.L., Merscheid""",LUXEMBOURG
830fe83d-6b92-456d-847d-7cf5d105f6d7,"Porte des Sciences, Esch-sur-Alzette","""Porte des Sciences, Esch-sur-Alzette""",LUXEMBOURG
9b7f6db3-585d-41f4-8af9-836f6802b76e,University of Luxembourg; Professur für Sozial- und Arbeitspsychologie,"""Professur für Sozial- und Arbeitspsychologie, Universität Luxemburg""",LUXEMBOURG
6c6a77fb-7b74-4348-9d0b-b3b1b00866bc,University of Luxembourg; Professur für digitales Lernen,"""Professur für digitales Lernen, Universität Luxemburg""",LUXEMBOURG
baed26db-05fb-4e8a-b5ed-095f31a0d40a,"Psychotherapeutische Praxis, Luxemburg","""Psychotherapeutische Praxis, Luxemburg""",LUXEMBOURG
ee9b4161-76c8-489c-944b-22d550138aff,University of Luxembourg; Research Group Early Childhood: Education and Care,"""Research Group Early Childhood: Education and Care, University of Luxembourg""",LUXEMBOURG
1cf064fd-a6f7-4137-ba46-192c26608e46,"University of Luxembourg; Faculty of Humanities, Education and Social Sciences; Department of Behavioral and Cognitive Sciences; Research Group: Self-Regulation and Health","""Research Group: Self-Regulation and Health; Department of Behavioural and Cognitive Sciences, University of Luxembourg, Esch-sur-Alzette""",LUXEMBOURG
2b706b61-2c39-4a41-a7f7-e2f0e8aedf08,University of Luxembourg; Research Support Department,"""Research Support Department, University of Luxembourg, Esch-sur-Alzette""",LUXEMBOURG
167eb5ad-a114-4014-995f-f3ab4c9dbacc,"University of Luxembourg; Faculty of Humanities, Education and Social Sciences; Department of Behavioral and Cognitive Sciences, Institute for Health and Behavior; Research Group Stress, Pain and Pain Modulation","""Research group Stress, Pain and Pain Modulation; Institute for Health and Behavior; University of Luxembourg""",LUXEMBOURG
4d128942-3b39-480c-8dec-3dd444caf6d6,"Schule ""Roude Wee"", Beles","""Schule Roude Wee, Beles""",LUXEMBOURG
4612fe34-338d-4ffc-8253-a362c5708b46,"Sociéte Luxembourgeoise de Psychologie Adlérienne, Bertrange","""Sociéte Luxembourgeoise de Psychologie Adlérienne, Bertrange""",LUXEMBOURG
acc4187f-decf-4659-ae1a-2022791fd2ee,"St. Theresa Clinic, Luxembourg; Institute of Health Promotion","""St. Theresa Clinic, Luxembourg; Institute of Health Promotion""",LUXEMBOURG
c9542649-1a63-46a5-b867-e4ba822611bf,"Survey and Analysis Department, Technical Assistance Office to the European Commission, Leonardo da Vinci Programme","""Survey and Analysis Department, Technical Assistance Office to the European Commission, Leonardo da Vinci Programme""",LUXEMBOURG
54738795-d5a7-4248-b9b3-bdd07045fb15,"Trebbipsicologie, Luxembourg and Societé Luxembourgeoise de Psychologie SLP","""Trebbipsicologie, Luxembourg & Societé Luxembourgeoise de Psychologie SLP""",LUXEMBOURG
11805b2a-2e4b-4bf6-810d-028484592014,"University of Luxembourg, Faculty of Law, Economics and Finance; Department of Economics and Management","""University of Luxembourg, Department of Economics and Management""",LUXEMBOURG
afae8f05-4ebd-4d89-a626-f225eddc3be2,"University of Luxembourg; Faculty of Humanities, Education and Social Sciences; Institute for Research and Innovation in Social Work, Social Pedagogy, and Social Welfare; Research Unit on Social and Individual Development","""University of Luxembourg, Esch Sur Alzette; Institute for Research and Innovation in Social Work, Social Pedagogy, and Social Welfare IRISS/ Integrative Research Unit on Social and Individual Development INSIDE; Maison des Sciences Humaines""",LUXEMBOURG
4d68bb3c-644c-4a31-9c47-2870fa221bb4,University of Luxembourg; Institute of Applied Educational Sciences,"""University of Luxembourg, Esch-sur-Alzette; Institute of Applied Educational Sciences""",LUXEMBOURG
9fcf0e5a-3a54-4451-8336-359fd8814c43,University of Luxembourg; Life Sciences Research Unit,"""University of Luxembourg, Luxembourg; Life Sciences Research Unit""",LUXEMBOURG
141b6a36-3edd-4397-a90d-b24d6c796dd7,"University of Luxembourg, PEARL Institute for Research on Socio-Economic Inequality, Luxembourg","""University of Luxembourg, PEARL Institute for Research on Socio-Economic Inequality, Luxembourg""",LUXEMBOURG
48438c76-2114-4e7a-8ac5-9fe7beddabfd,University of Luxembourg; Department of Social Psychology,"""University of Luxembourg, Walferdange; Department of Social Psychology""",LUXEMBOURG
fa38845e-d736-418d-a5c8-5581635e8db7,"University of Luxembourg; Faculty of Language and Literature, Humanities, Arts and Education; Institute of Teacher Professionalization and Psychology of Education","""University of Luxembourg, Walferdange; Faculty of Language and Literature, Humanities, Arts and Education; Institute of Teacher Professionalization and Psychology of Education""",LUXEMBOURG
10dfed82-fce8-4f9f-a115-b9b04e74f729,University of Luxembourg; Department of Clinical Psychology and Psychotherapy,"""University of Luxembourg; Department of Clinical Psychology and Psychotherapy""",LUXEMBOURG
4b2de4a0-f0c6-4ab4-9278-98e28c85e440,University of Luxembourg; Engineering Design und Methodology,"""University of Luxembourg; Engineering Design und Methodology""",LUXEMBOURG
26e04db1-b715-4aa0-b372-b76fb6bc09b8,"University of Luxembourg; Faculty of Science, Technology and Medicine","""University of Luxembourg; Faculty of Science, Technology and Communication""",LUXEMBOURG
742b02d4-21b4-4e1a-a984-5d638b5e8976,"University of Luxembourg; Institute of Applied Educational Sciences; Physical Education, Motor Learning and Development","""University of Luxembourg; Institute of Applied Educational Sciences; Physical Education, Motor Learning and Development""",LUXEMBOURG
b39bd646-9005-4f01-a372-1320a9acfd4f,University of Luxembourg; Institute for Health and Behavior; Laboratory of Neurophysiology and Psychobiology; Research Unit on Social and Individual Development,"""University of Luxembourg; Laboratory of Psychobiology and Neurophysiology; Integrative Research Unit on Social and Individual Development""",LUXEMBOURG
82c578f1-204f-4d1e-a83e-e53240016742,University of Luxembourg; Luxembourg Center for Systems Biomedicine,"""University of Luxembourg; Luxembourg Centre for Systems Biomedicine""",LUXEMBOURG
8fa2d7c3-51bb-4627-b8e5-627b5539dffa,"University of Luxembourg, EPSYLON Laborverbund","""Universität Luxembourg, Maison des Sciences Humaines, EPSYLON Laborverbund""",LUXEMBOURG
aa944809-ec62-43cf-8411-ef882037b88e,"University of Luxembourg, Entwicklungs- und Allgemeine Psychologie","""Universität Luxemburg, Entwicklungs- und Allgemeine Psychologie""",LUXEMBOURG
8e805460-6045-4a23-9b47-7bbff34fabe3,Universitätszentrum Luxemburg; Psychologische Abteilung,"""Universitätszentrum Luxemburg; Psychologische Abteilung""",LUXEMBOURG
74647bca-a7e4-46ea-8245-fd2b381f828a,"University of Luxembourg, Professur Entwicklungspsychologie","""Université du Luxembourg, Professur Entwicklungspsychologie""",LUXEMBOURG
ce506971-dd29-43e9-9327-bfa40e86093c,University of Luxembourg; Forschungsgruppe Educational Measruement and Applied Cognitive Science,"""Université du Luxembourg, Walferdange; Forschungsgruppe Educational Measruement and Applied Cognitive Science""",LUXEMBOURG
5e3e57c1-d461-4021-af13-6b3fbc0f51c4,"Zentrum für Gesundheitsförderung, Fondation Hôpitaux Robert Schuman","""Zentrum für Gesundheitsförderung, Fondation Hôpitaux Robert Schuman""",LUXEMBOURG
744cacc1-7559-4a4f-9173-7ed14153074d,"ZithaGesondheetsZentrum, Luxembourg","""ZithaGesondheetsZentrum, Luxembourg""",LUXEMBOURG
d250b8c5-3efb-4737-9a1f-a14822b44a95,"ZithaKlinik, Luxembourg; Department of Neurology","""ZithaKlinik, Luxembourg; Department of Neurology""",LUXEMBOURG
514f89a3-35a3-4199-b451-93c58578a524,risflecting ©,"""risflecting ©""",LUXEMBOURG